Date,Time,Transaction,Item
31-10-2016,11:52:43,1,Coffee
31-10-2016,11:52:43,2,Jam
31-10-2016,11:53:11,2,Farm House
31-10-2016,11:55:00,3,NONE
31-10-2016,11:55:00,3,Tartine
31-10-2016,11:55:00,3,Coffee
31-10-2016,11:55:00,4,Tea
31-10-2016,11:59:23,5,Coffee
31-10-2016,11:59:23,5,Coffee
31-10-2016,11:59:23,5,Cake
31-10-2016,12:03:12,6,Coffee
31-10-2016,12:03:12,6,Coffee
31-10-2016,12:03:12,6,Muffin
31-10-2016,12:08:28,7,Bread
31-10-2016,12:08:28,7,Coffee
31-10-2016,12:14:20,7,Tea
31-10-2016,12:14:20,7,Juice
31-10-2016,12:14:20,8,Pick and Mix Bowls
31-10-2016,12:14:20,8,Cookies
31-10-2016,12:16:32,9,Hearty & Seasonal
31-10-2016,12:16:32,9,Soup
31-10-2016,12:19:37,10,Hearty & Seasonal
31-10-2016,12:19:37,10,Tea
31-10-2016,12:19:37,11,Farm House
31-10-2016,12:20:21,11,Bread
31-10-2016,12:27:41,11,Tea
31-10-2016,12:27:41,11,Soup
31-10-2016,12:37:07,12,Farm House
31-10-2016,12:43:35,12,Soup
31-10-2016,12:43:35,12,Hearty & Seasonal
31-10-2016,12:43:35,12,Coffee
31-10-2016,12:50:57,12,Bread
31-10-2016,12:50:57,13,Muffin
31-10-2016,12:50:57,13,Hearty & Seasonal
31-10-2016,12:53:33,13,Coffee
31-10-2016,12:53:33,14,Coffee
31-10-2016,12:53:33,14,Cookies
31-10-2016,12:54:28,14,Bread
31-10-2016,12:56:47,15,Tea
31-10-2016,12:56:47,15,Muffin
31-10-2016,12:59:08,15,Tea
31-10-2016,13:02:11,15,Soup
31-10-2016,13:02:11,16,Hearty & Seasonal
31-10-2016,13:05:49,16,Coffee
31-10-2016,13:05:49,16,Tea
31-10-2016,13:05:49,17,Focaccia
31-10-2016,13:08:30,18,Sandwich
31-10-2016,13:09:31,19,Tartine
31-10-2016,13:09:31,19,Coffee
31-10-2016,13:21:17,20,Fudge
31-10-2016,13:21:17,20,Coffee
31-10-2016,13:21:17,21,Coffee
31-10-2016,13:26:03,21,Coffee
31-10-2016,13:31:33,21,Bread
31-10-2016,13:50:17,21,Coke
31-10-2016,13:50:17,22,Soup
31-10-2016,13:51:18,23,Muffin
31-10-2016,13:55:22,23,Tea
31-10-2016,13:55:22,24,Coffee
31-10-2016,13:55:22,25,Cookies
31-10-2016,13:55:22,26,Muffin
31-10-2016,14:00:21,27,Mighty Protein
