id,name,rating,reviews.text,reviews.title
AWMjT0WguC1rwyj_rFh3,Amazon - Echo Plus w/ Built-In Hub - Silver,5.0,IFeel confident purchasing products from Best Buy due to protection coverage,MY Alexa is so much fun
AVqVGWLKnnc1JgDc3jF1,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",5.0,Great tablet for my 3 yr old. Love the profile options and parental controls!,Awesome Kid's Tablet
AVph0EeEilAPnD_x9myq,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",4.0,This tablet is great for small kids because it is well protected and is preloaded with many games.Adults can also use it when required.You have to be careful what mode your in as your child may start trying to buy stuff on you!,Great for Kids and Adults too
AWMjT0WguC1rwyj_rFh3,Amazon - Echo Plus w/ Built-In Hub - Silver,5.0,Great sound and function! ❤️ Alexa! The color and style of the silver plus looks great with our newly finished basement.,Great little speaker!
AWFUWc8THh53nbDRF6YO,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",5.0,Echo Show is a great addition to any home and we were thrilled to buy one for each of our children's families during this holiday season!,Terrific family gift
AWFUWc8THh53nbDRF6YO,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",5.0,I purchased this for my daughter and when I tell you she was so happy she hugged the box then me and back to the box!,Best gift ever!
AWFUWc8THh53nbDRF6YO,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",5.0,Can use many differents apps from the Echo Show. Awesome product!,Great quality!
AVqVGWLKnnc1JgDc3jF1,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",5.0,Bought for my eight year old. She absolutely loves it!,Great for kids
AVqVGZSEQMlgsOJE6eUc,"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",4.0,i bought this as a backup. I am currently using the same headphone.,unbeatable price
AVph0EeEilAPnD_x9myq,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",4.0,Great tablet for destructive toddlers. My son has dropped and thrown it several times and it still works!...,My son and nephew love it
AVph0EeEilAPnD_x9myq,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",4.0,Kids love it. Easy for them to use. Only issue is there is a ton of Ads that pop up.,Easy to use
AWFUWc8THh53nbDRF6YO,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",5.0,I love that you and now see your answer on a screen with the Alexa Echo Show!!!,Great Alexa Device
AWK8z0pOIwln0LfXlSxH,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",3.0,"The echo show feels useless after a few hours, especially without the ability to watch YouTube.",Not many features
AWK8z0pOIwln0LfXlSxH,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",5.0,"I use the echo show to stream music, video chat, and drop in as a camera from my home. You can even see recipes and other items. Worth the money, got it on sale! I always wait for sales.","Great device multiple uses, I love Alexa!"
AVpfpK8KLJeJML43BCuD,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,4.0,"I had trouble linking to my Joule Cooking App, finally got on the third day. I Love it now, still is learning Voice Recognition though",Pretty Good for a Beginner
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",3.0,"Very little set up, Amazon helpful in setting up the functions. Clear pictures and easy to use. Take pictures both ways",Works exactly as described
AWMjT0WguC1rwyj_rFh3,Amazon - Echo Plus w/ Built-In Hub - Silver,5.0,"Love, love, love my echo plus! Is great that it has a built in bridge...great way to start a system for your smart home!Love being able to program lights to come on and off from phone...",Echo plus
AVphPmHuilAPnD_x3E5h,"Amazon - Kindle Voyage - 6"" - 4GB - Black",3.0,"Even though it is a little pricy, I like my new Kindle Voyage. It looks smaller, but it is because it's only the screen - no buttons. It is lightweight. You can scroll and turn pages with touch screen press or with physical small buttons on the side. It is automatically adjusts to different light conditions.",Excelent
AVph0EeEilAPnD_x9myq,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",5.0,Keeps my granddaughter busy. She was showing me how to use it. Now she doesn't want to use mine.,great tablet for her age
AWMjT0WguC1rwyj_rFh3,Amazon - Echo Plus w/ Built-In Hub - Silver,5.0,Great item and easy to use. Very helpful and entertaining,Great to have around the house.
AWK8z0pOIwln0LfXlSxH,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",5.0,I own a dot and a first gen echo and the sound from the show is way better than both of my other echoes. The video functions are nice but it is a pain to get it to play videos from my Amazon library. My family enjoys the calendar info and the news briefings that rotate on the screen.,Echo show
AVpfpK8KLJeJML43BCuD,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,5.0,"This is great for the beach or by the pool. If you already own an Echo, this is a great addition to the household.",Great Alexa for on the go
AWMjT0WguC1rwyj_rFh3,Amazon - Echo Plus w/ Built-In Hub - Silver,5.0,Easy set up and very user friendly for my children,Would recommend to buyers
